Course Title,Course Description,Antirequisites,Prerequisites,Extra Information,Course Weight,Subject
Computer Science 1011A/B THE INTERNET: BEHIND THE CURTAIN,"The technological successes that have led to the Internet's wide adoption for work and social purposes. The ways in which computer technology has led to more compact representation of data, and faster, more reliable and more secure communication. Intended primarily for students not in Computer Science.",,,3 lecture hours.,0.50,Computer Science
Computer Science 1025A/B COMPUTER SCIENCE FUNDAMENTALS I,"The nature of Computer Science as a discipline; the design and analysis of algorithms and their implementation as modular, reliable, well-documented programs written in a modern programming language. Intended for students with significant programming experience in at least one high-level block-structured or object-oriented language.","Computer Science 1026A/B, Computer Science 2120A/B, Engineering Science 1036A/B",,3 lecture hours.,0.50,Computer Science
Computer Science 1026A/B COMPUTER SCIENCE FUNDAMENTALS I,"The nature of Computer Science as a discipline; the design and analysis of algorithms and their implementation as modular, reliable, well-documented programs written in  a modern programming language. Intended for students with little or no background in programming.","Computer Science 1025A/B, Computer Science 2120A/B, Engineering Science 1036A/B, Digital Humanities 2220A/B",,"3 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 1027A/B COMPUTER SCIENCE FUNDAMENTALS II,"A continuation for both  Computer Science 1025A/B  and  Computer Science 1026A/B . Data organization and manipulation; abstract data types and their implementations in a modern programming language; lists, stacks, queues, trees; pointers; recursion; file handling and storage.","Computer Science 1037A/B, Computer Science 2121A/B, Digital Humanities 2221A/B","Computer Science 1025A/B, Computer Science 1026A/B","3 lecture hours, 1 laboratory/tutorial hour.",0.50,Computer Science
Computer Science 1032A/B INFORMATION SYSTEMS AND DESIGN,"Techniques used for determining technological needs of businesses; building and managing systems to meet those needs; development roles of individuals and organizations; planning and management of concepts, personnel and processes; related software tools (spreadsheets, databases). Intended primarily for Management and Organizational Studies students.",Management and Organizational Studies 1033A/B,,3 lecture hours.,0.50,Computer Science
Computer Science 1033A/B MULTIMEDIA AND COMMUNICATION I,"This course explores the use of different types of media (e.g., text, images, sound, animation) to convey ideas and facilitate interaction. Topics include the design and use of a range of software tools for media creation and editing, covering image, sound, animation and video. This knowledge will be applied to authoring web sites.",,,"2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 1037A/B COMPUTER SCIENCE FUNDAMENTALS II,"A continuation for  Engineering Science 1036A/B . Data organization and manipulation; abstract data types and their implementations in an object-oriented setting (C++); lists, stacks, queues, trees; pointers; recursion; file handling and storage. Intended for students in the Faculty of Engineering.","Computer Science 1027A/B, Computer Science 2121A/B, Digital Humanities 2221A/B",Engineering Science 1036A/B,"3 lecture hours, 2 laboratory/tutorial hour.",0.50,Computer Science
Computer Science 1046A/B APPROACHABLE APPS: AN INTRODUCTION TO PROGRAMMING USING JAVASCRIPT,"Foundations of app development for the web and mobile devices. An introduction to basic programming and scripting concepts, and technologies such as JavaScript, HTML, and CSS, which will be used to create a variety of apps and games. This course is intended for students with no prior programming or computing background.","Computer Science 1025A/B, Computer Science 1026A/B, Computer Science 2120A/B, Engineering Science 1036A/B",,"2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 2033A/B MULTIMEDIA AND COMMUNICATION II,"This course continues the exploration of popular media and Internet technologies. Topics include making websites more interactive, more searchable and easier to update; digital marketing; e-commerce; social integration; and mobile applications. Students will practice concepts using industry standard tools and software.",,Computer Science 1033A/B,"2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 2034A/B DATA ANALYTICS: PRINCIPLES AND TOOLS,"A comprehensive and interdisciplinary introduction to data analytics using modern computing systems, with equal attention to fundamentals and practical aspects. Topics include sources of data, data formats and transformation, usage of spreadsheets and databases, statistical analysis, pattern recognition, data mining, big data, and methods for data presentation and visualization.","Digital Humanities 2144A/B, Earth Sciences 2222A/B",,"2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 2035A/B DEALING WITH DATA: ANALYSIS AND VISUALIZATION,"Essential skills and computational tools for working with data from a number of disciplines. Uses MATLAB for data analysis and visualization through basic statistics, numerical computing, and programming, with interdisciplinary applications ranging from image processing to financial computing, and more. Suitable for both Computer Science and non-Computer Science students.",Earth Sciences 2222A/B,,"3 lecture hours, 1 laboratory/tutorial hour.",0.50,Computer Science
Computer Science 2050F/G THE EVOLUTION OF COMPUTING AND COMPUTERS,"A survey course on the cultural, political, economic, military, and technological history leading to the development of the modern computer and its deployment within society; providing students with a historic context for understanding developments such as web technologies and trends, satellite imagery, virtual reality, artificial intelligence, and ubiquitous computing.",,,3 lecture hours.,0.50,Computer Science
Computer Science 2101A/B FOUNDATIONS OF PROGRAMMING FOR HIGH PERFORMANCE COMPUTING,"An introduction to fundamental programming skills in the context of High Performance Computing (HPC), exploring tools, techniques, and theory used in the creation of HPC applications for a wide variety of domains. Topics include data structures and algorithms for HPC, computer achitectures, and applications. Suitable for non Computer Science students.",,,"3 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
